Tamaño Array,5000
Quicksort Memoria,Quicksort nsec,Mergesort Memoria,Mergesort nsc,Sequential Search nsec,Binary Search nsec
0,1669391.0,370197192,8.8101872E7,36674.0,31521.0,
0,870371.0,337492624,5.0884179E7,60737.0,4335.0,
0,722669.0,206159984,5.227663E7,27441.0,3797.0,
0,716516.0,204775216,1.7948192E7,66156.0,3831.0,
0,721344.0,203826448,1.3969151E7,37610.0,4371.0,
0,731101.0,203273496,1.3322675E7,18415.0,4188.0,
0,724887.0,202840904,1.2881042E7,31959.0,4325.0,
0,729721.0,202710152,1.3410318E7,36602.0,3612.0,
0,728897.0,202404936,1.3205594E7,43333.0,4002.0,
0,722794.0,202312824,1.2995421E7,24229.0,3518.0,
0,789553.0,202284856,1.3203297E7,57174.0,4141.0,
0,718474.0,202276648,1.2530386E7,17591.0,9675.0,
0,741019.0,202273912,1.3524545E7,27413.0,3602.0,
0,747084.0,202273304,1.3566741E7,5308.0,19874.0,
0,721866.0,202273000,1.4702742E7,3179.0,20829.0,
0,749107.0,202273000,1.2964902E7,3017.0,4283.0,
0,716143.0,202273000,1.6805379E7,3319.0,4107.0,
0,717429.0,202273000,1.3768751E7,20368.0,3905.0,
0,741501.0,202273000,1.3509225E7,24766.0,13983.0,
0,914372.0,202273000,1.3540936E7,15130.0,20813.0,
0,837404.0,202273000,1.7320506E7,15008.0,20168.0,
0,741064.0,205695960,1.3646236E7,3439.0,3926.0,
0,736679.0,206252568,1.3520495E7,65243.0,13844.0,
0,765429.0,201394784,1.4937078E7,73994.0,27223.0,
0,794952.0,201742256,1.3194453E7,16039.0,15924.0,
0,778017.0,201846832,1.5236473E7,55697.0,6746.0,
0,826830.0,201878144,1.4115698E7,36044.0,7467.0,
0,726031.0,201887568,1.4518294E7,37564.0,8069.0,
0,727151.0,201890304,1.4320737E7,31768.0,13486.0,
0,727886.0,201891216,1.397356E7,11958.0,9116.0,
0,756078.0,201891520,1.3753584E7,9158.0,7349.0,
0,716745.0,201891824,1.3250497E7,34230.0,6866.0,
0,728823.0,201891520,1.320148E7,20369.0,20438.0,
0,716686.0,201891824,1.3775008E7,92879.0,22085.0,
0,824665.0,201891520,1.9420988E7,25905.0,26258.0,
0,748034.0,201891824,1.3605736E7,12555.0,6715.0,
0,725090.0,201891520,1.3840419E7,15795.0,6222.0,
0,723842.0,201891824,1.3823017E7,13640.0,8172.0,
0,723768.0,201891520,1.4373221E7,5061.0,9599.0,
0,775913.0,201891824,1.4636995E7,4641.0,8095.0,
0,718509.0,201891520,1.4986958E7,5312.0,7427.0,
0,724329.0,201891824,1.3714035E7,7730.0,7727.0,
0,726727.0,201891520,1.2874943E7,5330.0,7355.0,
0,722427.0,201891824,1.2810194E7,5834.0,8633.0,
0,717515.0,201891520,1.2747375E7,8246.0,7311.0,
0,781628.0,201891824,1.3348057E7,5753.0,7676.0,
0,845567.0,201891520,1.3566617E7,5088.0,8161.0,
0,721814.0,201891824,1.3467454E7,5839.0,7510.0,
0,740654.0,201891520,1.3429703E7,7044.0,7779.0,
0,728268.0,201891824,1.4664841E7,4014.0,8303.0,
0,934076.0,201891520,1.8243924E7,4795.0,8711.0,
0,729296.0,201891824,1.3931128E7,5447.0,7299.0,
0,723956.0,201891520,1.3304567E7,5750.0,7579.0,
0,720564.0,201891824,1.2558672E7,5212.0,7579.0,
0,724039.0,201891520,1.2549128E7,10469.0,8981.0,
0,719086.0,201891824,1.2475233E7,4848.0,9705.0,
0,949032.0,201891520,1.4229595E7,6787.0,7621.0,
0,829979.0,201891824,1.3213142E7,4494.0,10802.0,
0,735686.0,201891520,1.3416067E7,4321.0,6680.0,
0,719964.0,201891824,1.3837002E7,4845.0,7771.0,
0,902499.0,201891520,1.3416306E7,7623.0,7621.0,
0,722372.0,201891824,1.3521686E7,4669.0,6992.0,
0,720482.0,201891520,1.3506452E7,6382.0,7833.0,
0,768323.0,201891824,1.3677502E7,5703.0,7555.0,
0,788716.0,201891520,1.3250329E7,6812.0,7848.0,
0,723690.0,201891824,1.3090869E7,6392.0,7205.0,
0,719255.0,201891520,1.3501149E7,7768.0,7023.0,
0,796300.0,201891824,1.3192073E7,6586.0,7594.0,
0,721572.0,201891520,1.2727273E7,6320.0,7651.0,
0,721041.0,201891824,1.2666215E7,4874.0,8399.0,
0,721233.0,201891520,1.3138946E7,6841.0,7754.0,
0,726190.0,201891824,1.3469262E7,4722.0,8403.0,
0,718071.0,201891520,1.3534073E7,5038.0,6769.0,
0,715352.0,201891824,1.3322165E7,5314.0,7319.0,
0,724587.0,201891520,1.3741384E7,7496.0,7072.0,
0,722163.0,201891824,1.2855455E7,5297.0,32357.0,
0,732652.0,201891520,1.3069311E7,7498.0,17449.0,
0,727258.0,201891824,1.3284136E7,6030.0,17559.0,
0,763539.0,201891520,1.3639115E7,5657.0,7405.0,
0,726947.0,201891824,1.3177838E7,5576.0,22573.0,
0,744553.0,201891520,1.3674484E7,5456.0,8845.0,
0,722464.0,201891824,1.3634773E7,5006.0,7780.0,
0,727515.0,201891520,1.8403186E7,6873.0,8188.0,
0,843613.0,201891824,1.5559274E7,5629.0,9357.0,
0,748302.0,201891520,1.4350524E7,7558.0,9186.0,
0,734972.0,201891824,1.6008643E7,5666.0,9335.0,
0,723364.0,201891520,1.8293017E7,6314.0,8175.0,
0,775700.0,201891824,1.2892084E7,5476.0,7144.0,
0,721235.0,201891520,1.2472761E7,5633.0,7321.0,
0,722263.0,201891824,1.3419807E7,5108.0,8879.0,
0,721407.0,201891520,1.3219169E7,6144.0,7387.0,
0,727516.0,201891824,1.3083188E7,10702.0,14809.0,
0,722827.0,201891520,1.8533807E7,19188.0,9154.0,
0,720893.0,201891824,1.5958662E7,3139.0,6752.0,
0,724612.0,201891520,1.3811339E7,9551.0,8154.0,
0,717858.0,201891824,1.287549E7,5304.0,7555.0,
